,"URL describes","URL type","Modification date",URL
"DSRC/URL 0",DSRC,Homepage,"28 January 2011 20:08:37",http://sun.aei.polsl.pl/dsrc
"DeFuse/URL 0",DeFuse,Homepage,"7 October 2010 12:49:08",http://compbio.bccrc.ca/?page_id=275
"DecGPU/URL 0",DecGPU,"Source code","23 September 2011 18:03:55",http://sourceforge.net/projects/decgpu/
"DeconSeq/URL 0",DeconSeq,Homepage,"20 October 2011 17:29:57",http://deconseq.sourceforge.net
"DeconSeq/URL 1",DeconSeq,"Analysis server","20 October 2011 17:30:24",http://edwards.sdsu.edu/deconseq
"DeepTools/URL 0",DeepTools,"Source code","27 January 2014 13:36:27",https://github.com/fidelram/deepTools
"DeepTools/URL 1",DeepTools,,"27 January 2014 13:42:18",http://f1000.com/posters/browse/summary/1094053
"DeepTools/URL 2",DeepTools,Binaries,"27 January 2014 13:44:09",https://pypi.python.org/pypi/deepTools
"DeepTools/URL 3",DeepTools,"Mailing list","27 January 2014 13:40:04",https://groups.google.com/forum/#%21forum/deeptools
"DiBayes/URL 0",DiBayes,Homepage,"14 September 2009 20:50:15",http://solidsoftwaretools.com/gf/project/dibayes/
"DiffBind/URL 0",DiffBind,Homepage,"8 October 2013 12:57:05",http://bioconductor.org/packages/release/bioc/html/DiffBind.html
"DiffBind/URL 1",DiffBind,Homepage,"8 October 2013 12:59:21",http://bioconductor.org/packages/release/bioc/html/DiffBind.html
"DiffBind/URL 2",DiffBind,Manual,"8 October 2013 13:01:47",http://bioconductor.org/packages/release/bioc/vignettes/DiffBind/inst/doc/DiffBind.pdf
"DiffBind/URL 3",DiffBind,Manual,"8 October 2013 13:02:45",http://bioconductor.org/packages/release/bioc/manuals/DiffBind/man/DiffBind.pdf
"Diffreps/URL 0",Diffreps,Homepage,"20 March 2012 15:04:47",https://code.google.com/p/diffreps/
"Dindel/URL 0",Dindel,Homepage,"28 August 2010 03:50:38",http://sites.google.com/site/keesalbers/soft/dindel
"DiscoSnp/URL 0",DiscoSnp,Homepage,"7 November 2013 16:09:02",http://colibread.inria.fr/discosnp/
"DrFAST/URL 0",DrFAST,"Source code","20 May 2011 03:13:26",http://drfast.sourceforge.net
"Dummy page/URL 0","Dummy page","Mailing list","26 February 2010 14:45:29",http://test
"Dummy page/URL 1","Dummy page",HOWTO,"26 February 2010 14:46:43",http://test2
"E-miR/URL 0",E-miR,Homepage,"26 January 2011 22:02:17",http://www.lgtc.nl/EmiR
"EBCall/URL 0",EBCall,Homepage,"12 March 2013 16:24:25",https://github.com/friend1ws/EBCall
"ECHO/URL 0",ECHO,Homepage,"6 September 2011 12:58:36",http://uc-echo.sourceforge.net/
"EDENA/URL 0",EDENA,Homepage,"21 September 2009 09:04:04",http://www.genomic.ch/edena
"ERANGE/URL 0",ERANGE,Homepage,"21 September 2009 09:28:45",http://woldlab.caltech.edu/rnaseq/
"ERDS/URL 0",ERDS,Homepage,"10 September 2010 14:02:24",http://www.duke.edu/%7Emz34/erds.htm
"ERGO Genome Analysis and Discovery System/URL 0","ERGO Genome Analysis and Discovery System",Homepage,"28 August 2013 19:47:24",http://igenbio.com/ergo_bioinformatics_and_analysis
"ERNE/URL 0",ERNE,Homepage,"3 July 2012 09:15:42",http://erne.sourceforge.net
"ESTcalc/URL 0",ESTcalc,Homepage,"4 January 2010 16:03:03",http://fgp.huck.psu.edu/NG_Sims/ngsim.pl
"EULER/URL 0",EULER,Homepage,"21 September 2009 09:05:45",http://euler-assembler.ucsd.edu/portal/
"Ea-utils/URL 0",Ea-utils,"Source code","7 September 2011 08:13:05",http://code.google.com/p/ea-utils/
"Ea-utils/URL 1",Ea-utils,"Publication full text","1 February 2013 15:38:27",http://dx.doi.org/10.2174/1875036201307010001
"EagleView/URL 0",EagleView,Homepage,"21 September 2009 08:38:46",http://bioinformatics.bc.edu/marthlab/EagleView
"Easyfig/URL 0",Easyfig,,"12 September 2014 00:28:13",http://easyfig.sourceforge.net/
"EdgeR/URL 0",EdgeR,Homepage,"6 April 2011 07:03:46",http://www.bioconductor.org/packages/release/bioc/html/edgeR.html
"EdgeR/URL 1",EdgeR,Related,"20 April 2011 04:24:27",http://bioconductor.org/packages/2.9/bioc/html/edgeR.html
"EdgeR/URL 2",EdgeR,Manual,"6 April 2011 23:50:20",http://www.bioconductor.org/packages/release/bioc/vignettes/edgeR/inst/doc/edgeR.pdf
"EpiGRAPH/URL 0",EpiGRAPH,Homepage,"11 April 2012 13:07:02",http://epigraph.mpi-inf.mpg.de/WebGRAPH/
"Epigenome/URL 0",Epigenome,"Source code","12 January 2010 20:34:01",http://www.broadinstitute.org/%7Ecbock/papers/rrbs-techdev/index.html
"Error Correction Evaluation Toolkit/URL 0","Error Correction Evaluation Toolkit",Homepage,"8 September 2012 19:03:09",http://aluru-sun.ece.iastate.edu/doku.php?id=ecr
"ExomeCopy/URL 0",ExomeCopy,Homepage,"6 February 2012 13:03:41",http://www.bioconductor.org/packages/release/bioc/html/exomeCopy.html
"ExomeCopy/URL 1",ExomeCopy,"Publication full text","19 March 2012 16:18:12",http://cmb.molgen.mpg.de/publications/Love_2011_exomeCopy.pdf
"ExomePicks/URL 0",ExomePicks,Manual,"18 September 2012 17:36:58",http://genome.sph.umich.edu/wiki/ExomePicks
"Exonerate/URL 0",Exonerate,Homepage,"21 September 2009 09:31:21",http://www.ebi.ac.uk/%7Eguy/exonerate
"FAAST/URL 0",FAAST,Homepage,"4 August 2011 14:19:18",http://bioinfo.limbo.ifm.liu.se/454tools/faast.php
"FACS/URL 0",FACS,Homepage,"15 September 2011 11:18:40",http://facs.biotech.kth.se
"FAST: Fast Analysis of Sequences Toolbox/URL 0","FAST: Fast Analysis of Sequences Toolbox",Homepage,"18 April 2015 02:13:07",http://compbio.ucmerced.edu/ardell/software/fast/
"FAST: Fast Analysis of Sequences Toolbox/URL 1","FAST: Fast Analysis of Sequences Toolbox","Source code","18 April 2015 02:02:38",https://github.com/tlawrence3/FAST
"FASTA/URL 0",FASTA,Description,"9 May 2010 19:07:38",http://en.wikipedia.org/wiki/FASTA_format
"FDM/URL 0",FDM,"Source code","21 September 2011 10:47:08",http://csbio-linux001.cs.unc.edu/nextgen/software/FDM
"FHiTINGS/URL 0",FHiTINGS,"Source code","23 February 2014 01:26:07",http://sourceforge.net/projects/fhitings/
"FHiTINGS/URL 1",FHiTINGS,"Publication full text","23 February 2014 01:26:38",http://www.ncbi.nlm.nih.gov/pubmed/23765392
"FLASH/URL 0",FLASH,"Source code","13 September 2011 19:10:26",http://www.cbcb.umd.edu/software/flash
"FPS/URL 0",FPS,Manual,"17 November 2011 13:46:42",http://ccg.vital-it.ch/ssa/doc/ssa_tutorial.html#FPS
"FREEC/URL 0",FREEC,"Source code","29 November 2010 17:01:08",http://bioinfo-out.curie.fr/projects/freec/
"FaBox/URL 0",FaBox,Homepage,"21 November 2013 19:31:54",http://users-birc.au.dk/biopv/php/fabox/
"Falcon/URL 0",Falcon,"Source code","24 April 2015 12:32:02",https://github.com/PacificBiosciences/FALCON
"FastQ Screen/URL 0","FastQ Screen",Homepage,"19 May 2011 08:37:39",http://www.bioinformatics.bbsrc.ac.uk/projects/fastq_screen/
"FastQC/URL 0",FastQC,Homepage,"30 April 2010 07:44:50",http://www.bioinformatics.bbsrc.ac.uk/projects/fastqc/
"FastQC/URL 1",FastQC,HOWTO,"18 October 2010 10:42:32",http://www.bioinformatics.bbsrc.ac.uk/projects/fastqc/bad_sequence_fastqc/fastqc_report.html
"FastQC/URL 2",FastQC,HOWTO,"18 October 2010 10:43:23",http://www.youtube.com/watch?v=bz93ReOv87Y
"FastQValidator/URL 0",FastQValidator,Homepage,"7 September 2011 08:17:03",http://www.sph.umich.edu/csg/mktrost/fastQFile/
"FastQValidator/URL 1",FastQValidator,Manual,"18 September 2012 17:31:34",http://genome.sph.umich.edu/wiki/FastQValidator
"FeatureCounts/URL 0",FeatureCounts,Homepage,"23 April 2013 12:29:32",http://bioconductor.org/packages/release/bioc/html/Rsubread.html
"Figaro/URL 0",Figaro,Homepage,"28 October 2009 18:06:09",https://sourceforge.net/apps/mediawiki/amos/index.php?title=Figaro
"Figaro/URL 1",Figaro,Manual,"28 October 2009 18:08:41",https://sourceforge.net/apps/mediawiki/amos/index.php?title=Figaro_User_Manual
"Filter/URL 0",Filter,Homepage,"14 February 2012 12:26:31",http://srna-workbench.cmp.uea.ac.uk
"Filter/URL 1",Filter,Manual,"14 February 2012 12:31:10",http://srna-workbench.cmp.uea.ac.uk/tools/adapter-removal/
"FindPeaks 3.1/URL 0","FindPeaks 3.1",Homepage,"15 September 2011 10:50:17",http://www.bcgsc.ca/platform/bioinfo/software/findpeaks
"FindPeaks 4.0 (Vancouver Short Read Package)/URL 0","FindPeaks 4.0 (Vancouver Short Read Package)",Homepage,"5 February 2010 15:47:29",http://vancouvershortr.sourceforge.net/
"Flexbar/URL 0",Flexbar,Homepage,"22 September 2015 12:48:17",https://github.com/seqan/flexbar
"Flexbar/URL 1",Flexbar,Manual,"22 September 2015 12:49:59",https://github.com/seqan/flexbar/wiki
"Flexbar/URL 2",Flexbar,"Publication full text","16 February 2013 15:20:51",http://www.mdpi.com/2079-7737/1/3/895
"FlowSim/URL 0",FlowSim,Homepage,"3 August 2011 01:28:41",http://biohaskell.org/Applications/FlowSim
"Flower/URL 0",Flower,Description,"1 April 2011 16:18:06",http://blog.malde.org/index.php/2009/07/03/a-set-of-tools-for-working-with-454-sequences/
"Flux/URL 0",Flux,,"7 June 2010 15:45:22",http://flux.sammeth.net/simulator.html
"Forge/URL 0",Forge,Homepage,"11 September 2009 19:54:59",http://sourceforge.net/projects/forge/
"FragGeneScan/URL 0",FragGeneScan,Homepage,"31 August 2010 13:09:44",http://omics.informatics.indiana.edu/FragGeneScan/
"FrameDP/URL 0",FrameDP,Homepage,"21 September 2009 10:51:11",http://iant.toulouse.inra.fr/FrameDP
"FreClu/URL 0",FreClu,Homepage,"9 September 2009 19:57:36",http://mlab.cb.k.u-tokyo.ac.jp/%7Equwei/DeNovoShortReadClustering/
"Freebayes/URL 0",Freebayes,Homepage,"12 August 2011 14:42:13",http://bioinformatics.bc.edu/marthlab/FreeBayes
"Freebayes/URL 1",Freebayes,Description,"12 August 2011 14:44:19",https://github.com/ekg/freebayes
"FusionAnalyser/URL 0",FusionAnalyser,Homepage,"8 November 2013 13:35:26",http://www.ngsbicocca.org/html/fusionanalyser.html
"FusionAnalyser/URL 1",FusionAnalyser,"Publication full text","8 November 2013 13:55:59",http://nar.oxfordjournals.org/content/40/16/e123.long
"FusionCatcher/URL 0",FusionCatcher,Homepage,"29 November 2015 06:54:54",https://github.com/ndaniel/fusioncatcher
"FusionCatcher/URL 1",FusionCatcher,Manual,"29 November 2015 06:53:28",https://github.com/ndaniel/fusioncatcher/blob/master/doc/MANUAL.md
"FusionHunter/URL 0",FusionHunter,Homepage,"20 May 2011 02:45:35",http://bioen-compbio.bioen.illinois.edu/FusionHunter/
"FusionMap/URL 0",FusionMap,,"28 June 2011 17:24:11",http://www.omicsoft.com/fusionmap
"FusionSeq/URL 0",FusionSeq,Homepage,"22 October 2010 13:25:38",http://rnaseq.gersteinlab.org/fusionseq/
"FusionSeq/URL 1",FusionSeq,Manual,"11 January 2011 16:30:21",http://info.gersteinlab.org/FusionSeq
"FusionSeq/URL 2",FusionSeq,"Source code","11 January 2011 16:31:05",http://info.gersteinlab.org/FusionSeq_Download
"FusionSeq/URL 3",FusionSeq,HOWTO,"11 January 2011 16:36:38",http://info.gersteinlab.org/How_to_execute_FusionSeq
"Fuzzypath/URL 0",Fuzzypath,"Source code","28 October 2009 18:06:07",ftp://ftp.sanger.ac.uk/pub/zn1/fuzzypath/
"G-Mo.R-Seq/URL 0",G-Mo.R-Seq,Homepage,"3 September 2009 17:42:46",http://www.genoscope.cns.fr/externe/gmorse/
"G-SQZ/URL 0",G-SQZ,"Source code","8 July 2010 14:49:57",http://public.tgen.org/sqz
"GAMES/URL 0",GAMES,"Source code","25 October 2010 13:55:41",http://aqua.unife.it/GAMES/
"GAR/URL 0",GAR,Description,"17 September 2014 13:53:34",http://www.genalice.com/faq/
"GASSST/URL 0",GASSST,Homepage,"26 August 2010 13:26:20",http://www.irisa.fr/symbiose/projects/gassst/
"GASV/URL 0",GASV,Homepage,"3 September 2009 19:52:49",http://cs.brown.edu/people/braphael/software.html
"GATK/URL 0",GATK,Homepage,"26 July 2012 20:54:17",http://www.broadinstitute.org/gatk/
"GBrowse/URL 0",GBrowse,Homepage,"12 November 2010 11:15:30",http://gmod.org/wiki/GBrowse
"GEM library/URL 0","GEM library",Homepage,"11 June 2010 09:21:56",http://gemlibrary.sourceforge.net/
"GEM/URL 0",GEM,Homepage,"6 February 2013 07:14:08",http://cgs.csail.mit.edu/gem/
"GENALICE MAP/URL 0","GENALICE MAP",Homepage,"17 September 2014 13:40:52",http://www.genalice.com/
"GENALICE MAP/URL 1","GENALICE MAP","White Paper","17 September 2014 13:42:05",http://www.genalice.com/download-whitepapers/
"GENE-Counter/URL 0",GENE-Counter,Homepage,"30 April 2012 16:53:01",http://changlab.cgrb.oregonstate.edu/node/26
"GENE-Counter/URL 1",GENE-Counter,"Source code","28 October 2011 09:49:04",http://sourceforge.net/p/genecounter/home/GENE-counter/
"GFF3/URL 0",GFF3,Description,"25 February 2010 15:16:07",http://www.sequenceontology.org/resources/gff3.html
"GMAP/URL 0",GMAP,Homepage,"21 September 2009 09:37:44",http://www.gene.com/share/gmap
"GPS/URL 0",GPS,Homepage,"7 November 2011 18:32:29",http://cgs.csail.mit.edu/gps
"GPSeq/URL 0",GPSeq,Homepage,"30 July 2010 17:18:27",http://www-rcf.usc.edu/%7Eliangche/software.html
"GRIDSS/URL 0",GRIDSS,"Source code","4 March 2016 04:00:07",http://github.com/PapenfussLab/gridss
"GRIDSS/URL 1",GRIDSS,Binaries,"4 March 2016 04:00:48",https://github.com/PapenfussLab/gridss/releases
"GRS/URL 0",GRS,Homepage,"28 January 2011 20:03:38",http://gmdd.shgmo.org/Computational-Biology/GRS
"GSNAP/URL 0",GSNAP,Homepage,"22 September 2015 15:07:31",http://research-pub.gene.com/gmap/
"Galaxy/URL 0",Galaxy,Homepage,"23 February 2014 01:52:48",http://galaxyproject.org/
"Galaxy/URL 1",Galaxy,"Analysis server","23 February 2014 01:53:42",https://usegalaxy.org/
"Galign/URL 0",Galign,"Source code","4 January 2010 16:00:10",http://shahamlab.rockefeller.edu/galign
"GeeFu/URL 0",GeeFu,"Source code","14 September 2011 14:04:00",http://tinyurl.com/geefu
"GenVision/URL 0",GenVision,Homepage,"27 August 2010 23:35:54",http://www.dnastar.com/t-products-genvision.aspx
"GeneProf/URL 0",GeneProf,Homepage,"30 January 2012 23:42:21",http://www.geneprof.prg
"GeneTalk/URL 0",GeneTalk,Homepage,"22 May 2013 11:28:39",http://www.gene-talk.de
"Genedata Expressionist/URL 0","Genedata Expressionist",Homepage,"30 October 2014 12:51:24",https://www.genedata.com
"Genedata Expressionist/URL 1","Paper on tranSMART integration","Publication full text","30 October 2014 14:27:50",http://dx.doi.org/10.1016/j.atg.2014.09.010
"Geneious/URL 0",Geneious,Homepage,"6 September 2011 08:20:44",http://www.geneious.com
"Geneious/URL 1",Geneious,,"21 March 2010 15:38:59",http://www.geneious.com/default%2C1251%2Cgeneious.sm
"GenoMiner/URL 0",GenoMiner,Homepage,"15 October 2010 10:19:45",http://www.ngsanalysis.com
"GenoMiner/URL 1",GenoMiner,Related,"6 September 2011 12:36:13",http://www.genomeweb.com/informatics/astrid-research-looks-edge-ngs-market-hardwaresoftware-solution-solid-analysis
"GenoMiner/URL 2",GenoMiner,Related,"6 September 2011 12:36:59",http://www.prunderground.com/astrid-research-launches-high-performance-bioinformatics-solution-for-next-generation-sequencing-data-analysis/003926/
"GenoREAD/URL 0",GenoREAD,Homepage,"8 November 2013 13:52:05",http://www.genoread.org
"GenoViewer/URL 0",GenoViewer,Homepage,"15 October 2010 09:31:58",http://www.genoviewer.com
"GenoViewer/URL 1",GenoViewer,Related,"15 October 2010 09:47:53",http://seqanswers.com/forums/showthread.php?t=6557
"Genomatix Mining Station (GMS)/URL 0","Genomatix Mining Station (GMS)",Homepage,"31 January 2011 15:02:57",http://www.genomatix.de/en/index.html
"Genome Trax/URL 0","Genome Trax",Homepage,"27 September 2011 09:02:01",http://www.biobase-international.com/product/genome-trax
"GenomeBrowse/URL 0",GenomeBrowse,Homepage,"22 March 2013 20:06:41",http://www.goldenhelix.com/GenomeBrowse/index.html
"GenomeJack/URL 0",GenomeJack,Homepage,"14 June 2011 07:12:25",http://www.mss.co.jp/businessfield/bioinformatics/solution/products/genomejack/english.html
"GenomeMapper/URL 0",GenomeMapper,Homepage,"19 May 2015 07:44:39",http://1001genomes.org/software/genomemapper.html
"GenomeTools/URL 0",GenomeTools,Homepage,"8 December 2009 13:40:52",http://genometools.org/
"GenomeTools/URL 1",GenomeTools,"Mailing list","8 December 2009 13:41:24",http://genometools.org/mailman/listinfo/gt-users
"GenomeView/URL 0",GenomeView,Homepage,"8 December 2011 22:11:34",http://genomeview.org
"GenomeView/URL 1",GenomeView,Manual,"8 December 2011 22:12:05",http://genomeview.org/manual
"GenomeView/URL 2",GenomeView,"Mailing list","8 December 2011 22:12:41",https://lists.sourceforge.net/lists/listinfo/genomeview-support
"GenomeView/URL 3",GenomeView,"Publication full text","8 December 2011 22:14:54",http://www.ncbi.nlm.nih.gov/pubmed/22102585
"Genomedata/URL 0",Genomedata,Homepage,"14 November 2010 18:01:51",http://noble.gs.washington.edu/proj/genomedata/
"Genomedata/URL 1","Genomedata 1.2.2 manual (HTML)",Manual,"14 November 2010 18:02:26",http://noble.gs.washington.edu/proj/genomedata/doc/1.2.2/
"Genomedata/URL 2",Genomedata,Manual,"14 November 2010 18:03:20",http://noble.gs.washington.edu/proj/genomedata/doc/1.2.2
"Genomedata/URL 3",Genomedata,"Mailing list","14 November 2010 18:03:50",https://mailman1.u.washington.edu/mailman/listinfo/genomedata-users
"Genomedata/URL 4",Genomedata,"Source code","14 November 2010 18:04:24",http://noble.gs.washington.edu/proj/genomedata/genomedata-1.2.2.tar.gz
"Genomedata/URL 5",Genomedata,"Publication full text","14 November 2010 18:04:46",http://bioinformatics.oxfordjournals.org/content/26/11/1458.full
"Genometa/URL 0",Genometa,Homepage,"30 August 2012 14:30:11",http://genomics1.mh-hannover.de/genometa/index.php?Site=Home
"GenomicTools/URL 0",GenomicTools,Homepage,"13 April 2012 13:05:30",http://code.google.com/p/ibm-cbc-genomic-tools/
"GensearchNGS/URL 0",GensearchNGS,Homepage,"17 February 2013 16:44:45",http://www.phenosystems.com/www/index.php/products/gensearchngs
"GensearchNGS/URL 1",GensearchNGS,Homepage,"23 June 2011 12:53:28",http://www.phenosystems.com/index.php?option=com_content&task=view&id=50&Itemid=1
"GensearchNGS/URL 2",GensearchNGS,Homepage,"17 February 2013 16:48:35",http://www.phenosystems.com/www/index.php/products/gensearchngs
"Geoseq/URL 0",Geoseq,Homepage,"15 October 2010 18:24:59",http://geoseq.mssm.edu
"GigaBayes/URL 0",GigaBayes,Homepage,"20 October 2009 13:22:35",http://bioinformatics.bc.edu/marthlab/GigaBayes
"GimmeMotifs/URL 0",GimmeMotifs,Homepage,"9 July 2010 06:58:54",http://www.ncmls.eu/bioinfo/gimmemotifs/
"GimmeMotifs/URL 1",GimmeMotifs,"Source code","9 July 2010 06:59:53",http://github.com/simonvh/gimmemotifs
"Girafe/URL 0",Girafe,,"28 September 2010 21:27:50",http://www.bioconductor.org/packages/2.6/bioc/html/girafe.html
"Gk arrays/URL 0","Gk arrays",Homepage,"7 October 2011 11:05:51",http://www.atgc-montpellier.fr/gkarrays
"Gk arrays/URL 1","Gk arrays","Publication full text","7 October 2011 11:08:13",http://www.biomedcentral.com/1471-2105/12/242
"Gk arrays/URL 2","Gk arrays","Source code","7 October 2011 11:09:11",http://www.atgc-montpellier.fr/gkarrays/binaries.php
"GlobalSeq/URL 0",GlobalSeq,Homepage,"21 January 2016 13:07:09",http://bioconductor.org/packages/globalSeq/
"GlobalSeq/URL 1",GlobalSeq,Manual,"21 January 2016 13:17:11",https://bioconductor.org/packages/devel/bioc/vignettes/globalSeq/inst/doc/globalSeq.pdf
"GlobalSeq/URL 5",GlobalSeq,Description,"21 January 2016 13:17:53",https://www.bioconductor.org/packages/3.3/bioc/manuals/globalSeq/man/globalSeq.pdf
"Gnumap/URL 0",Gnumap,Homepage,"21 September 2009 10:55:18",http://dna.cs.byu.edu/gnumap/
"Gnumap/URL 1",Gnumap,"Mailing list","19 September 2011 13:58:53",http://groups.google.com/group/gnumap-users/
"Goby framework/URL 0","Goby framework",Homepage,"3 August 2010 20:37:19",http://goby.campagnelab.org
"Goby framework/URL 1","Goby framework",Manual,"3 August 2010 20:39:08",http://campagnelab.org/software/goby/getting-started/
"Goby framework/URL 2","Goby framework","Source code","3 August 2010 20:41:40",http://campagnelab.org/software/goby/download-goby/
"Golden Helix/URL 0","Golden Helix",Homepage,"30 December 2011 14:35:37",http://www.goldenhelix.com
"Goseq/URL 0",Goseq,Homepage,"3 June 2010 01:55:59",http://bioconductor.org/packages/release/bioc/html/goseq.html
"Gowinda/URL 0",Gowinda,Homepage,"1 June 2012 10:02:52",http://code.google.com/p/gowinda/
"Gowinda/URL 1",Gowinda,"Publication full text","1 June 2012 10:03:32",http://bioinformatics.oxfordjournals.org/content/early/2012/05/25/bioinformatics.bts315.abstract
"Graphviz dot/URL 0","Graphviz dot",Homepage,"1 November 2010 17:54:20",http://www.graphviz.org
"Graphviz dot/URL 1","Graphviz dot",Description,"1 November 2010 17:54:54",http://www.graphviz.org/doc/info/lang.html
"HI/URL 0",HI,Homepage,"3 September 2009 14:08:50",ftp://ftp.sanger.ac.uk/pub/zn1/HI
"HINT/URL 0",HINT,Homepage,"17 August 2014 16:13:30",http://www.regulatory-genomics.org/dnasefootprints/
"HINT/URL 1",HINT,Related,"17 August 2014 16:17:40",http://costalab.org/wp/dh-hmm/
"HINT/URL 2",HINT,"Source code","17 August 2014 16:18:18",https://code.google.com/p/reg-gen/wiki/HINT
"HMMSplicer/URL 0",HMMSplicer,Homepage,"21 June 2010 13:29:04",http://derisilab.ucsf.edu/software/hmmsplicer
"HPeak/URL 0",HPeak,"Source code","8 July 2010 14:37:51",http://www.sph.umich.edu/csg/qin/HPeak
"HTSeq/URL 0",HTSeq,Homepage,"28 April 2010 17:45:54",http://www-huber.embl.de/users/anders/HTSeq/
"Hairpin Annotation/URL 0","Hairpin Annotation",Homepage,"14 February 2012 12:49:16",http://srna-workbench.cmp.uea.ac.uk
"Hairpin Annotation/URL 1","Hairpin Annotation",Manual,"14 February 2012 12:50:00",http://srna-workbench.cmp.uea.ac.uk/tools/rnafolding-annotation/
"Haplowser/URL 0",Haplowser,Homepage,"21 September 2011 10:36:59",http://embio.yonsei.ac.kr:8080/Haplowser/
"HawkEye/URL 0",HawkEye,Homepage,"8 September 2011 12:33:46",http://sourceforge.net/apps/mediawiki/amos/index.php?title=Hawkeye
"HeliSphere/URL 0",HeliSphere,Homepage,"9 June 2010 09:24:08",http://open.helicosbio.com/
"HiTEC/URL 0",HiTEC,Homepage,"7 December 2010 16:50:30",http://www.csd.uwo.ca/%7Eilie/HiTEC/
"Hicup/URL 0",Hicup,Homepage,"28 March 2012 22:58:47",http://www.bioinformatics.babraham.ac.uk/projects/hicup/
"Hybrid-SHREC/URL 0",Hybrid-SHREC,Homepage,"7 December 2010 16:46:06",http://www.cs.helsinki.fi/u/lmsalmel/hybrid-shrec/
"IBD2/URL 0",IBD2,"Source code","4 February 2011 14:44:20",http://compbio.charite.de/index.php/ibd2.html
"ICORN/URL 0",ICORN,"Source code","21 June 2010 13:35:25",http://icorn.sourceforge.net
"IDBA/URL 0",IDBA,Homepage,"31 March 2010 09:40:22",http://i.cs.hku.hk/%7Ealse/idba
"IDBA/URL 1",IDBA,"Publication full text","30 September 2011 09:02:59",http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.157.195
"IGV/URL 0",IGV,Homepage,"18 December 2009 20:04:23",http://www.broadinstitute.org/igv/
"IOmics/URL 0",IOmics,Homepage,"30 October 2011 15:06:38",http://www.genomecomputingcenter.com/iomics
"IQSeq/URL 0",IQSeq,Homepage,"22 October 2010 13:38:01",http://rnaseq.gersteinlab.org/IQSeq/IQSeq.html
"ISAAC/URL 0",ISAAC,Homepage,"13 June 2013 14:44:17",https://github.com/sequencing
"ISAAC/URL 1",ISAAC,"Publication full text","13 June 2013 14:45:13",http://bioinformatics.oxfordjournals.org/content/early/2013/06/04/bioinformatics.btt314.abstract
"ISSAKE/URL 0",ISSAKE,"Source code","21 September 2009 09:09:48",ftp://ftp.bcgsc.ca/supplementary/iSSAKE
"Ibis/URL 0",Ibis,Homepage,"2 September 2009 19:24:38",http://bioinf.eva.mpg.de/Ibis/
"Illuminate/URL 0",Illuminate,Description,"1 August 2013 00:46:19",https://pypi.python.org/pypi/illuminate/
"Illuminate/URL 1",Illuminate,"Source code","1 August 2013 00:47:12",https://bitbucket.org/invitae/illuminate
"Illuminator/URL 0",Illuminator,Homepage,"7 June 2011 18:09:51",http://dna.leeds.ac.uk/illuminator/.
"InGAP/URL 0",InGAP,Homepage,"3 September 2009 19:41:14",http://sites.google.com/site/nextgengenomics/ingap
"Inchworm/URL 0",Inchworm,"Source code","18 February 2011 20:30:04",http://inchworm.sourceforge.net/
"Ingenuity Variant Analysis/URL 0","Ingenuity Variant Analysis",Homepage,"11 January 2013 21:27:38",http://www.ingenuity.com/products/ingenuity_variant_analysis.html
"Iobio/URL 0",Iobio,Homepage,"6 August 2015 11:59:16",http://iobio.io/
"Isas/URL 0",Isas,Homepage,"15 November 2010 19:33:37",http://www.imagenix.com/genomics/index.html
"IsoEM/URL 0",IsoEM,"Source code","28 April 2011 18:40:57",http://dna.engr.uconn.edu/software/IsoEM/
"JBrowse/URL 0",JBrowse,Homepage,"6 February 2013 19:49:19",http://jbrowse.org
"JBrowse/URL 1",JBrowse,Homepage,"6 February 2013 19:49:53",http://gmod.org/wiki/JBrowse
"Jellyfish/URL 0",Jellyfish,"Source code","20 May 2011 03:07:06",http://www.cbcb.umd.edu/software/jellyfish
"JointSLM/URL 0",JointSLM,"Source code","16 February 2011 13:49:17",http://nar.oxfordjournals.org/content/suppl/2011/02/16/gkr068.DC1
"KARMA/URL 0",KARMA,Homepage,"11 June 2010 09:38:26",http://www.sph.umich.edu/csg/pha/karma/
"KBASE/URL 0",KBASE,Homepage,"23 February 2014 01:43:51",http://kbase.us/
"KNIME/URL 0",KNIME,"Source code","14 September 2011 08:11:29",http://tech.knime.org/community/next-generation-sequencing
"Kismeth/URL 0",Kismeth,"Analysis server","25 January 2011 20:24:57",http://katahdin.mssm.edu/kismeth
"Kissnp/URL 0",Kissnp,Homepage,"6 April 2011 16:20:11",http://alcovna.genouest.org/kissnp-page/
"Kmergenie/URL 0",Kmergenie,Homepage,"24 April 2015 12:36:33",http://kmergenie.bx.psu.edu/
"Knime4Bio/URL 0",Knime4Bio,Homepage,"19 October 2011 08:23:06",http://code.google.com/p/knime4bio/
"Krona/URL 0",Krona,Homepage,"8 November 2011 20:51:37",http://krona.sf.net
"LAST/URL 0",LAST,Homepage,"29 January 2010 15:25:58",http://last.cbrc.jp/
"LASTZ/URL 0",LASTZ,Homepage,"9 June 2010 13:27:47",http://www.bx.psu.edu/miller_lab/
"LOCAS/URL 0",LOCAS,Homepage,"21 September 2009 10:59:33",http://www-ab.informatik.uni-tuebingen.de/software/locas
"LSKB, Life Science Knowledge Bank/URL 0","LSKB, Life Science Knowledge Bank",Homepage,"9 October 2015 23:55:01",http://www.lskb.w-fusionus.com
