,Author,Journal,"Number of citations","Pubmed id","Reference describes",Title,Volume,Year,"Modification date"
19461883,"Rumble SM,Lacroute P,Dalca AV,Fiume M,Sidow A,Brudno M.","PLoS Computational Biology",163," 19461883",SHRiMP,"SHRiMP: accurate mapping of short color-space reads.",,2009,"9 September 2009 20:01:26"
19477687,"Blazewicz J,Bryja M,Figlerowicz M,Gawron P,Kasprzak M,Kirton E,Platt D,Przybytek J,Swiercz A,Szajkowski L.","Comput Biol Chem.",4," 19477687",SR-ASM,"Whole genome assembly from 454 sequencing output via modified DNA graph concept.",33,2009,"11 August 2011 23:37:45"
19477992,"Sindi S,Helman E,Bashir A,Raphael BJ.",Bioinformatics,53," 19477992",GASV,"A geometric approach for classification and comparison of structural variants.",25,2009,"3 September 2009 19:53:55"
19483690,"Lee S,Hormozdiari F,Alkan C,Brudno M.","Nature Methods",53," 19483690",MoDIL,"MoDIL: detecting small indels from clone-end sequencing with mixtures of distributions.",6,2009,"1 September 2009 18:15:36"
19497933,"Li R,Yu C,Li Y,Lam TW,Yiu SM,Kristiansen K,Wang J.",Bioinformatics,683," 19497933",SOAP,"SOAP2: an improved ultrafast tool for short read alignment.",25,2009,"7 January 2010 18:24:05"
19505939,"Zang C,Schones DE,Zeng C,Cui K,Zhao K,Peng W.",Bioinformatics,186," 19505939",SICER,"A clustering approach for identification of enriched domains from histone modification ChIP-Seq data.",25,2009,"21 September 2009 11:17:16"
19505943,"Li H,Handsaker B,Wysoker A,Fennell T,Ruan J,Homer N,Marth G,Abecasis G,Durbin R",Bioinformatics,"3,175"," 19505943",SAMtools,"The Sequence Alignment/Map format and SAMtools",25,2009,"17 November 2011 11:06:04"
19508732,"Homer N,Merriman B,Nelson SF","BMC Bioinformatics",11," 19508732",BFAST,"Local alignment of two-base encoded DNA sequence.",10:175.,2009,"23 May 2010 15:21:39"
19528083,"Birol I,Jackman SD,Nielsen CB,Qian JQ,Varhol R,Stazyk G,Morin RD,Zhao Y,Hirst M,Schein JE,Horsman DE,Connors JM,Gascoyne RD,Marra MA,Jones SJ",Bioinformatics,137," 19528083",ABySS,"De novo transcriptome assembly with ABySS.",25,2009,"20 August 2011 16:28:35"
19535537,"Schmidt B,Sinha R,Beresford-Smith B,Puglisi SJ.",Bioinformatics,13," 19535537",Taipan,"A fast hybrid short read fragment assembly algorithm.",25,2009,"9 September 2009 15:39:16"
19542151,"Koboldt DC,Chen K,Wylie T,Larson DE,McLellan MD,Mardis ER,Weinstock GM,Wilson RK,Ding L.",Bioinformatics,224," 19542151",VarScan,"VarScan: variant detection in massively parallel sequencing of individual and pooled samples.",25,2009,"21 September 2009 11:32:46"
19542152,"Schröder J,Schröder H,Puglisi SJ,Sinha R,Schmidt B.",Bioinformatics,32," 19542152",SHREC,"SHREC: a short-read error correction method.",25,2009,"9 September 2009 19:54:40"
19549630,"Whiteford N,Skelly T,Curtis C,Ritchie ME,Löhr A,Zaranek AW,Abnizova I,Brown C",Bioinformatics,27," 19549630",Swift,"Swift: primary data analysis for the Illumina Solexa sequencing platform.",25,2009,"9 September 2009 14:07:19"
19561018,"Ye K,Schulz MH,Long Q,Apweiler R,Ning Z.",Bioinformatics,253," 19561018",Pindel,"Pindel: a pattern growth approach to detect break points of large deletions and medium sized insertions from paired-end short reads.",,2009,"3 September 2009 13:55:53"
19561337,"Kim JH,Kim WC,Waterman MS,Park S,Li LM.",Bioinformatics,2," 19561337",Haplowser,"HAPLOWSER: a whole-genome haplotype browser for personal genome and metagenome.",25,2009,"3 September 2009 14:18:30"
19570807,"Long Q,MacArthur D,Ning Z,Tyler-Smith C.",Bioinformatics,9," 19570807",HI,"HI: haplotype improver using paired-end short reads.",25,2009,"3 September 2009 14:08:06"
19574284,"Manske HM,Kwiatkowski DP.",Bioinformatics,12," 19574284",SNP-o-matic,SNP-o-matic,,2009,"9 September 2009 20:08:34"
19587030,"Wen KW,Dittmer DP,Damania B.","J. Virol.",12," 19587030","CLCbio Genomics Workbench","Disruption of LANA in rhesus rhadinovirus generates a highly lytic recombinant virus.",83(19),2009,"30 August 2010 00:54:43"
19592482,"Weese D,Emde AK,Rausch T,Döring A,Reinert K.","Genome Research",56," 19592482",RazerS,"RazerS--fast read mapping with sensitivity control.",,2009,"2 September 2009 19:08:22"
19602525,"Martínez-Alcántara A,Ballesteros E,Feng C,Rojas M,Koshinsky H,Fofanov VY,Havlak P,Fofanov Y.",Bioinformatics,13," 19602525",PIQA,"PIQA: pipeline for Illumina G1 genome analyzer data quality assessment.",25,2009,"3 September 2009 18:08:35"
19605420,"Hashimoto T,de Hoon MJ,Grimmond SM,Daub CO,Hayashizaki Y,Faulkner GJ.",Bioinformatics,11," 19605420",MuMRescueLite,"Probabilistic resolution of multi-mapping reads in massively parallel sequencing data using MuMRescueLite.",,2009,"2 September 2009 19:29:51"
19605794,"Hoberman R,Dias J,Ge B,Harmsen E,Mayhew M,Verlaan DJ,Kwan T,Dewar K,Blanchette M,Pastinen T.","Genome Research",15," 19605794",ProbHD,"A probabilistic approach for SNP discovery in high-throughput human resequencing data.",19,2009,"9 September 2009 13:34:45"
19620971,"Bigelow H,Doitsidou M,Sarin S,Hobert O.","Nature Methods",7," 1962097",MAQGene,"MAQGene: software to facilitate C. elegans mutant genome sequence analysis.",6,2009,"3 September 2009 17:46:46"
19635165,"Yuanxin Xi and Wei Li","BMC Bioinformatics",78," 19635165",BSMAP,"BSMAP: whole genome Bisulfite Sequence MAPping program",10:232,2009,"24 September 2009 21:25:40"
19644454,"Schneeberger K,Ossowski S,Lanz C,Juul T,Petersen AH,Nielsen KL,Jørgensen JE,Weigel D,Andersen SU","Nat Methods.",94," 19644454",SHOREmap,"SHOREmap: simultaneous mapping and mutation identification by deep sequencing.",6,2009,"13 November 2011 17:07:09"
19648138,"Cloonan N,Xu Q,Faulkner GJ,Taylor DF,Tang DT,Kolle G,Grimmond SM.",Bioinformatics,25," 19648138",RNA-MATE,"RNA-MATE: A recursive mapping strategy for high-throughput RNA-sequencing data.",,2009,"3 September 2009 18:15:30"
19648916,"Brady A,Salzberg SL.","Nature Methods",113," 19648916",Phymm,"Phymm and PhymmBL: metagenomic phylogenetic classification with interpolated Markov models.",6,2009,"5 January 2010 21:00:06"
19654119,"Morgan M,Anders S,Lawrence M,Aboyoun P,Pagès H,Gentleman R",Bioinformatics,75," 19654119",ShortRead,"ShortRead: a Bioconductor package for input, quality assessment, and exploration of high throughput sequence data.",,2009,"21 December 2009 23:22:25"
19661376,"Kao WC,Stevens K,Song YS.","Genome Research",31," 19661376",BayesCall,"BayesCall: A model-based basecalling algorithm for high-throughput short-read sequencing.",19,2009,"15 September 2011 15:24:45"
19668202,"Chen K,Wallis JW,McLellan MD,Larson DE,Kalicki JM,Pohl CS,McGrath SD,Wendl MC,Zhang Q,Locke DP,Shi X,Fulton RS,Ley TJ,Wilson RK,Ding L,Mardis ER.","Nature Methods",264," 19668202",BreakDancer,"BreakDancer: an algorithm for high-resolution mapping of genomic structural variation.",6,2009,"1 September 2009 18:12:57"
19668203,"Quince C,Lanzén A,Curtis TP,Davenport RJ,Hall N,Head IM,Read LF,Sloan WT.","Nature Methods",308," 19668203",PyroNoise,"Accurate determination of microbial diversity from 454 pyrosequencing data.",6,2009,"21 September 2009 11:08:32"
19675096,"Chen Y,Souaiaia T,Chen T.",Bioinformatics,32," 19675096",PerM,"PerM: Efficient Mapping of Short Sequencing Reads with Periodic Full Sensitive Spaced Seeds.",,2009,"2 September 2009 19:20:10"
19679872,"Manske HM,Kwiatkowski DP.","Genome Research",33," 19679872",LookSeq,"LookSeq: a browser-based viewer for deep sequencing data.",,2009,"3 September 2009 14:06:07"
19682367,"Kircher M,Stenzel U,Kelso J.","Genome Biology",94," 19682367",Ibis,"Improved base calling for the Illumina Genome Analyzer using machine learning strategies.",10,2009,"21 September 2009 10:58:00"
19699594,"Zhang ZW,Zhang YG,Wang YL,Pan L,Fang YZ,Jiang ST,Lü JL,Zhou P","Veterinary Microbiology",9," 19699594",Lasergene,"Screening and identification of B cell epitopes of structural proteins of foot-and-mouth disease virus serotype Asia1",140,2012,"15 November 2012 22:00:58"
19718026,"Alkan C,Kidd JM,Marques-Bonet T,Aksay G,Antonacci F,Hormozdiari F,Kitzman JO,Baker C,Malig M,Mutlu O,Sahinalp SC,Gibbs RA,Eichler EE","Nature Genetics",220," 19718026",MrFAST,"Personalized copy number and segmental duplication maps using next-generation sequencing.",41,2009,"18 April 2011 06:46:20"
19736251,"Smith AD,Chung W,Hodges E,Kendall J,Hannon G,Hicks J,Xuan Z,Zhang MQ",Bioinformatics,52," 19736251",RMAP,"Updates to the RMAP short-read mapping software",,2009,"8 September 2009 12:43:33"
19737799,"Lassmann T,Hayashizaki Y,Daub CO",Bioinformatics,49," 19737799",TagDust,"TagDust - A program to eliminate artifacts from next generation sequencing data",,2009,"9 September 2009 13:15:07"
19750212,"Hoffmann,S,Otto C,Kurtz S,Sharma CM,Khaitovich P,Vogel J,Stadler PF,Hackelmueller J","PLoS Computational Biology",87," 19750212",Segemehl,"Fast Mapping of Short Sequences with Mismatches, Insertions and Deletions Using Index Structures",5,2009,"21 September 2009 11:14:04"
19761611,"Schneeberger K,Hagmann J,Ossowski S,Warthmann N,Gesing S,Kohlbacher O,Weigel D.","Genome Biology",33," 19761611",GenomeMapper,"Simultaneous alignment of short reads against multiple genomes.",10,2009,"5 January 2010 21:34:12"
19772557,"Spyrou C,Stark R,Lynch AG,Tavaré S","BMC Bioinformatics",41," 19772557",BayesPeak,"BayesPeak: Bayesian analysis of ChIP-seq data.",10,2009,"20 August 2011 16:34:30"
19779626,"Shaham S","PLoS One",3," 19779626",Galign,"galign: a tool for rapid genome polymorphism discovery.",4,2009,"4 January 2010 16:01:13"
19796385,"Maccallum I,Przybylski D,Gnerre S,Burton J,Shlyakhter I,Gnirke A,Malek J,McKernan K,Ranade S,Shea TP,Williams L,Young S,Nusbaum C,Jaffe DB.","Genome Biology",50," 19796385",ALLPATHS,"ALLPATHS 2: small genomes assembled accurately and with high continuity from short paired reads.",10,2009,"7 October 2009 16:02:37"
19804638,"Schüffler P,Mikeska T,Waha A,Lengauer T,Bock C.","Genome Biology",8," 19804638",MethMarker,"MethMarker: user-friendly design and optimization of gene-specific DNA methylation assays.",,2009,"11 April 2012 13:32:20"
19811681,"Zhou X,Su Z,Sammons RD,Peng Y,Tranel PJ,Stewart CN Jr,Yuan JS.","BMC Bioinformatics",9," 19811681",CPTRA,"Novel software package for cross-platform transcriptome analysis (CPTRA).",10,2009,"13 February 2010 18:58:34"
19855105,"Wang L,Feng Z,Wang X,Zhang X",Bioinformatics,260," 19855105",DEGseq,"DEGseq: an R package for identifying differentially expressed genes from RNA-seq data",,2009,"6 May 2013 12:00:10"
19855106,"Arner A,Hayashizaki H,Daub CO",Bioinformatics,6," 19855106",NGSView,"NGSView: an extensible open source editor for next-generation sequencing data",,2009,"6 May 2013 11:52:33"
19861355,"Clement,N. L.,Snell,Q.,M. J.,Hollenhorst,P. C.,Purwar,J.,Graves BJ,Cairns BR,Johnson WE",Bioinformatics,22," 19861355",Gnumap,"The GNUMAP Algorithm: Unbiased Probabilistic Mapping of Oligonucleotides from Next-Generation Sequencing",,2009,"6 May 2013 12:22:52"
19874596,"Frank DN","BMC Bioinformatics",46," 19874596","Barcrawl Bartab","BARCRAWL and BARTAB: software tools for the design and implementation of barcoded primers for highly multiplexed DNA sequencing.",10,2009,"30 December 2009 17:28:25"
19880367,"Qi J,Zhao F,Buboltz A,Schuster SC.",Bioinformatics,25," 19880367",InGAP,"inGAP: an integrated next-generation genome analysis pipeline.",,2009,"18 December 2009 18:53:47"
19888827,"Tyler HL,Roesch LF,Gowda S,Dawson WO,Triplett EW.","Mol Plant Microbe Interact.",15," 19888827","CLCbio Genomics Workbench","Confirmation of the Sequence of ‘Candidatus Liberibacter asiaticus’ and Assessment of Microbial Diversity in Huanglongbing-Infected Citrus Phloem Using a Metagenomic Approach",22(12),2009,"30 August 2010 01:57:49"
19906703,"Blahnik KR,Dou L,O'Geen H,McPhillips T,Xu X,Cao AR,Iyengar S,Nicolet CM,Ludäscher B,Korf I,Farnham PJ.","Nucleic Acids Research",66," 19906703",Sole-Search,"Sole-Search: an integrated analysis program for peak detection and functional annotation using ChIP-seq data.",,2010,"14 September 2010 13:41:25"
19907642,"Homer N,Merriman B,Nelson SF.","PLoS One",160," 19907642",BFAST,"BFAST: An Alignment Tool for Large Scale Genome Resequencing.","4(11): e7767.",2009,"13 November 2009 20:04:13"
19910308,"Robinson MD,McCarthy DJ,Smyth GK.",Bioinformatics,897," 19910308",EdgeR,"edgeR: a Bioconductor package for differential expression analysis of digital gene expression data.",26,2010,"10 September 2010 14:30:41"
19925883,"Kriseman J,Busick C,Szelinger S,Dinu V.","Journal of Biomedical Informatics",1," 19925883",BING,"BING: Biomedical informatics pipeline for Next Generation Sequencing.",,2009,"6 January 2010 21:30:01"
19930550,"Langmead B,Schatz MC,Lin J,Pop M,Salzberg SL.","Genome Biology",79," 19930550",Crossbow,"Searching for SNPs with cloud computing.",10,2009,"18 December 2009 19:06:17"
19958476,"Bao H,Xiong Y,Guo H,Zhou R,Lu X,Yang Z,Zhong Y,Shi S.","BMC Genomics.",2," 19958476",MapNext,"MapNext: a software tool for spliced and unspliced alignments and SNP detection of short sequence reads.","2009 Dec 3;10 Suppl 3:S13.",2009,"17 February 2011 01:05:12"
19958483,"Zhao SQ,Wang J,Zhang L,Li JT,Gu X,Gao G,Wei L.","BMC Genomics",3," 19958483",BOAT,"BOAT: Basic Oligonucleotide Alignment Tool.",,2009,"8 February 2010 17:28:51"
19965881,"Milne I,Bayer M,Cardle L,Shaw P,Stephen G,Wright F,Marshall D",Bioinformatics,174," 19965881",Tablet,"Tablet - Next Generation Sequence Assembly Visualization.",26,2010,"27 March 2012 15:01:26"
20008100,"Pantano L,Estivill X,Martí E.","Nucleic Acids Research",32," 20008100",SeqBuster,"SeqBuster, a bioinformatic tool for the processing and analysis of small RNAs datasets, reveals ubiquitous miRNA modifications in human embryonic cells",38(5),2010,"11 August 2011 23:44:41"
20019143,"Shen Y,Wan,Z,Coarfa C,Drabek R,Chen L,Ostrowski EA,Liu Y,Weinstock GM,Wheeler DA,Gibbs RA,Yu F","Genome Research",62," 20019143",Atlas-SNP2,"A SNP discovery method to assess variant allele probability from next-generation resequencing data",,2009,"6 May 2013 12:32:26"
20019144,"Li R,Zhu H,Ruan J,Qian W,Fang X,Shi Z,Li Y,Li S,Shan G,Kristiansen K,Yang H,Wang J","Genome Research",733," 20019144",SOAPdenovo,"De novo assembly of human genomes with massively parallel short read sequencing",20,2009,"5 September 2011 09:13:22"
20022973,"Simpson JT,McIntyre RE,Adams DJ,Durbin R",Bioinformatics,23," 20022973",CnD,"Copy number variant detection in inbred strains from short read sequence data.",26,2010,"22 May 2010 18:43:51"
20022975,"Li B,Ruotti V,Stewart RM,Thomson JA,Dewey CN",Bioinformatics,121," 20022975",RSEM,"RNA-Seq gene expression estimation with read mapping uncertainty",,2009,"6 May 2013 12:28:30"
20027311,"Zerbino DR,McEwen GK,Margulies EH,Birney E","PLoS One",70," 20027311",Velvet,"Pebble and rock band: heuristic resolution of repeats and scaffolding in the velvet short-read de novo assembler.",4,2009,"5 January 2010 09:11:08"
20031974,"Harris EY,Ponts N,Levchuk A,Le Roch K,Lonardi S.",Bioinformatics,26," 20031974",BRAT,"BRAT: Bisulfite-treated Reads Analysis Tool.",,2009,"28 December 2009 14:51:37"
20034392,"Papanicolaou A,Stierli R,Ffrench-Constant RH,Hec","BMC Bioinformatics",29," 20034392",Est2assembly,"Next generation transcriptomes for next generation genomes using est2assembly.",10,2009,"30 December 2009 17:33:29"
20037582,"Lam HYK,Mu XJ,Stuetz AM,Tanzer A,Caytin PD,Snyder M,Kim PM,Korbel JO,Gerstein MB.","Nature Biotechnology",46," 20037582",BreakSeq,"Nucleotide-resolution analysis of structural variants using BreakSeq and a breakpoint library",,2009,"6 May 2013 12:08:48"
20062050,"Gu H,Bock C,Mikkelsen TS,Jäger N,Smith ZD,Tomazou E,Gnirke A,Lander ES,Meissner A.","Nature Methods",98," 20062050",Epigenome,"Genome-scale DNA methylation mapping of clinical samples at single-nucleotide resolution.",,2010,"12 January 2010 20:33:28"
20067172,"Kulakovskiy IV,Makeev VJ",Biofizika,3," 20067172",ChIPMunk,"Integration of data obtained by different experimental methods to identify transcription factor binding motifs; IN RUSSIAN",54(6),2009,"6 April 2012 16:38:56"
20080505,"Li H,Durbin R",Bioinformatics,743," 20080505",BWA-SW,"Fast and accurate long-read alignment with Burrows-Wheeler transform",26,2010,"14 September 2011 09:17:24"
20089148,"Falgueras J,Lara AJ,Fernandez-Pozo N,Canton FR,Perez-Trabado G,Claros MG.","BMC Bioinformatics",44," 20089148",SeqTrim,"SeqTrim: a high-throughput pipeline for preprocessing any type of sequence reads.",20,2010,"24 January 2010 03:31:05"
20098412,"Popp C,Dean W,Feng S,Cokus SJ,Andrews S,Pellegrini M,Jacobsen SE,Reik W.",Nature,338," 20098412",SeqMonk,"Genome-wide erasure of DNA methylation in mouse primordial germ cells is affected by AID deficiency.",463,2010,"29 August 2011 07:28:55"
20110255,"Frith MC,Wan R,Horton P","Nucleic Acids Research",19," 20110255",LAST,"Incorporating sequence quality data into alignment improves DNA read mapping",,2010,"29 January 2010 15:27:35"
20110278,"Quinlan AR,Hall IM",Bioinformatics,854," 20110278",BEDTools,"BEDTools: A flexible suite of utilities for comparing genomic features",,2010,"29 January 2010 15:29:53"
20126413,"Clark MJ,Homer N,O'Connor BD,Chen Z,Eskin A,Lee H,Merriman B,Nelson SF.","PLoS Genetics",68," 20126413",Literature,"U87MG decoded: the genomic sequence of a cytogenetically aberrant human cancer cell line",,2010,"3 September 2010 10:30:35"
20130035,"Goya R,Sun MG,Morin RD,Leung G,Ha G,Wiegand KC,Senz J,Crisan A,Marra MA,Hirst M,Huntsman D,Murphy KP,Aparicio S,Shah SP.",Bioinformatics,89," 20130035",SNVMix,"SNVMix: predicting single nucleotide variants from next-generation sequencing of tumors.",26,2010,"8 April 2010 18:30:57"
20144198,"Frith MC,Hamada M,Horton P","BMC Bioinformatics",26," 20144198",LAST,"Parameters for accurate genome alignment",11,2010,"26 January 2011 15:18:45"
20144947,"Krawitz P,Rödelsperger C,Jäger M,Jostins L,Bauer S,Robinson PN.",Bioinformatics,43," 20144947",Novocraft,"Microindel detection in short-read sequence data.",26,2010,"21 June 2010 11:34:08"
20147302,"Wu TD,Nacu S",Bioinformatics,251," 20147302",GSNAP,"Fast and SNP-tolerant detection of complex variants and splicing in short reads",,2010,"11 February 2010 13:59:16"
20150320,"Bansal V,Harismendy O,Tewhey R,Murray SS,Schork NJ,Topol EJ,Frazer KA.","Genome Research",53," 20150320",SNIP-Seq,"Accurate detection and genotyping of SNPs utilizing population sequencing data",20,2010,"2 November 2010 19:28:29"
20150413,"Richard H,Schulz MH,Sultan M,Nuernberger A,Schrinner S,Balzereit D,Dagandd E,Rasche A,Lehrach H,Vingron,M,Haas SA,Yaspo","Nucleic Acids Research",55," 20150413",Solas,"Prediction of alternative isoforms from exon expression levels in RNA-Seq experiments",,2010,"12 February 2010 19:50:36"
20161021,"Trapnell C,Schatz MC","Parallel Comput",5," 20161021",MUMmerGPU,"Optimizing Data Intensive GPGPU Computations for DNA Sequence Alignment",,2009,"27 January 2012 20:48:32"
20180949,"Pandey RV,Nolte V,Schlötterer C.","BMC Res Notes",17," 20180949",CANGS,"CANGS: a user-friendly utility for processing and analyzing 454 GS-FLX data in biodiversity studies.",3,2010,"26 October 2010 20:19:17"
20190250,"Malhis N,Jones SJ.",Bioinformatics,16," 20190250",Slider,"High quality SNP calling using Illumina data at shallow coverage.",,2010,"14 September 2011 15:42:21"
20196867,"Robinson MD,Oshlack A.","Genome Biology",325," 20196867",EdgeR,"A scaling normalization method for differential expression analysis of RNA-seq data.",22,2010,"10 September 2010 14:38:56"
20230626,"Ratan A,Zhang Y,Hayes VM,Schuster SC,Miller W.","BMC Bioinformatics",18," 20230626",DIAL,"Calling SNPs without a reference sequence.",11,2010,"4 May 2010 16:53:21"
20236510,"Ameur A,Wetterbom A,Feuk L,Gyllensten U.","Genome Biology",32," 20236510",SplitSeek,"Global and unbiased detection of splice junctions from RNA-seq data.",11,2010,"14 June 2010 18:58:30"
20371516,"KF Au,H Jiang,L Lin,Y Xing,WH Wong","Nucleic Acids Research",90," 20371516",SpliceMap,"Detection of splice junctions from paired-end RNA-seq data by SpliceMap",,2010,"7 April 2010 17:45:23"
20375099,"Boeva V,Surdez D,Guillon N,Tirode F,Fejes AP,Delattre O,Barillot E.","Nucleic Acids Research",28," 20375099",MICSA,"De novo motif identification improves the accuracy of predicting transcription factor binding sites in ChIP-Seq data analysis.",,2010,"16 April 2010 15:33:36"
20375461,"Symons S,Zipplies C,Battke F,Nieselt K.","J Integr Bioinform",0," 20375461",MAYDAY,"Integrative systems biology visualization with MAYDAY.",7,2010,"3 February 2011 15:52:30"
20378555,"Salmela L.",Bioinformatics,25," 20378555",Hybrid-SHREC,"Correction of sequencing errors in a mixed set of reads.",26,2010,"7 December 2010 16:47:12"
20385726,"Hajirasouliha I,Hormozdiari F,Alkan C,Kidd JM,Birol I,Eichler EE,Sahinalp SC.",Bioinformatics,36," 20385726",NovelSeq,"Detection and characterization of novel sequence insertions using paired-end next-generation sequencing.",26,2010,"30 July 2010 19:26:44"
20388197,"Tsai IJ,Otto TD,Berriman M","Genome Biology",85," 20388197",IMAGE,"Improving draft assemblies by iterative mapping and assembly of short reads to eliminate gaps",11,2010,"19 August 2014 15:32:04"
20410051,"Bryant DW Jr,Shen R,Priest HD,Wong WK,Mockler TC.",Bioinformatics,16," 20410051",Supersplat,"Supersplat -- spliced RNA-seq alignment.",,2010,"26 April 2010 18:06:26"
20416082,"Chen PY,Cokus SJ,Pellegrini M.","BMC Bioinformatics",72," 20416082","BS Seeker","BS Seeker: precise mapping for bisulfite sequencing.",11,2010,"28 April 2010 17:50:39"
20426693,"Shi H,Schmidt B,Liu W,Müller-Wittig W.","Journal of Computational Biology",12," 20426693",CUDA-EC,"A parallel algorithm for error correction in high-throughput short-read data on CUDA-enabled graphics hardware.",17,2010,"7 December 2010 17:04:23"
20431543,"Wu H,Irizarry RA,Bravo HC.","Nature Methods",9," 20431543",Rsolid,"Intensity normalization improves color calling in SOLiD sequencing.",7,2010,"8 May 2010 20:59:18"
20436462,"Guttman M,Garber M,Levin JZ,Donaghey J,Robinson J,Adiconis X,Fan L,Koziol MJ,Gnirke A,Nusbaum C,Rinn JL,Lander ES,Regev A.","Nature Biotechnology",312," 20436462",Scripture,"Ab initio reconstruction of cell type-specific transcriptomes in mouse reveals the conserved multi-exonic structure of lincRNAs.",,2010,"4 May 2010 16:54:34"
20436464,"Trapnell C,Williams BA,Pertea G,Mortazavi A,Kwan G,van Baren MJ,Salzberg SL,Wold BJ,Pachter L.","Nature Biotechnology","1,684"," 20436464",Cufflinks,"Transcript assembly and quantification by RNA-Seq reveals unannotated transcripts and isoform switching during cell differentiation.",,2010,"4 May 2010 16:55:30"
20457667,"Statham AL,Strbenac D,Coolen MW,Stirzaker C,Clark SJ,Robinson MD.",Bioinformatics,22," 20457667",Repitools,"Repitools: an R package for the analysis of enrichment-based epigenomic data.",,2010,"22 May 2010 11:35:40"
20472541,"Stranneheim H,Käller M,Allander T,Andersson B,Arvestad L,Lundeberg J.",Bioinformatics,4," 20472541",FACS,"Classification of DNA sequences using Bloom filters.",,2010,"22 May 2010 11:31:00"
20478825,"Huang PJ,Liu YC,Lee CC,Lin WC,Gan RR,Lyu PC,Tang P.","Nucleic Acids Research",30," 20478825",DSAP,"DSAP: deep-sequencing small RNA analysis pipeline.",,2010,"22 May 2010 11:42:32"
20478827,"Zhu E,Zhao F,Xu G,Hou H,Zhou L,Li X,Sun Z,Wu J.","Nucleic Acids Research",41," 20478827",MirTools,"mirTools: microRNA profiling and discovery based on high-throughput sequencing.",,2010,"22 May 2010 11:44:57"
20479877,"Kuroshu R,Watanaben J,Sugano S,Morishita S,Suzuki Y,Kasahara M","PLoS One",4," 20479877","MuSICA 2","Cost-Effective Sequencing of Full-Length cDNA Clones Powered by a De Novo-Reference Hybrid Assembly",,2010,"6 May 2013 12:12:53"
20487544,"De Schrijver J et al","BMC Bioinformatics",8," 20487544",VIP,"sing 454 amplicon resequencing experiments using the modular and database oriented Variant Identification Pipeline",11,2010,"10 August 2010 12:42:23"
20495551,"Chen X,Tompa M","Nature Biotechnology",12," 20495551",PECAN,"Comparative assessment of methods for aligning multiple genome sequences.",28,2010,"11 August 2011 23:41:39"
20513662,"J.K.Bonfield,A.Whitwham",Bioinformatics,25," 20513662",STADEN,"Gap5 - editing the billion fragment sequence assembly",26(14),2010,"5 August 2010 08:30:32"
20528864,"Zhang X,Robertson G,Krzywinski M,Ning K,Droit A,Jones S,Gottardo R.",Biometrics,13," 20528864",PICS,"PICS: Probabilistic Inference for ChIP-seq.",,2010,"13 July 2010 14:38:34"
20529923,"Bansal V.",Bioinformatics,51," 20529923",CRISP,"A statistical method for the detection of variants from next-generation resequencing of DNA pools.",26,2010,"26 October 2010 18:26:22"
20529926,"Dalca AV,Rumble SM,Levy S,Brudno M.",Bioinformatics,5," 20529926",VARiD,"VARiD: a variation detection framework for color-space and letter-space platforms.",26,2010,"28 September 2010 16:10:20"
20529927,"Hormozdiari F,Hajirasouliha I,Dao P,Hach F,Yorukoglu D,Alkan C,Eichler EE,Sahinalp SC",Bioinformatics,63," 20529927",VariationHunter,"Next-generation VariationHunter: combinatorial algorithms for transposon insertion discovery",,2010,"2 November 2010 22:00:24"
20529929,"Simpson JT,Durbin R.","Bioinformatics (Oxford)",29," 20529929",SGA,"Efficient construction of an assembly string graph using the FM-index.",26,2010,"3 November 2011 10:14:43"
20562415,"Otto TD,Sanders M,Berriman M,Newbold C",Bioinformatics,51," 20562415",ICORN,"Iterative Correction of Reference Nucleotides (iCORN) using second generation sequencing technology",,2010,"21 June 2010 13:36:45"
20562417,"Ondov BD,Cochran C,Landers M,Meredith GD,Dudas M,Bergman NH.",Bioinformatics,8," 20562417",SOCS,"An alignment algorithm for bisulfite sequencing using the Applied Biosystems SOLiD System",,2010,"14 September 2011 02:00:00"
20562449,"Fiume M,Williams V,Brook A,Brudno M.",Bioinformatics,44," 20562449","Savant Genome Browser","Savant: Genome Browser for High Throughput Sequencing Data.",,2010,"30 June 2010 19:37:34"
20565853,"Bashir A,Bansal V,Bafna V.","BMC Genomics",9," 20565853",NGS-DesignTools,"Designing deep sequencing experiments: structural variation, haplotype assembly, and transcript abundance.",11,2010,"13 July 2010 15:07:37"
20573248,"Schmieder R,Lim YW,Rohwer F,Edwards R","BMC Bioinformatics",26," 20573248",TagCleaner,"TagCleaner: Identification and removal of tag sequences from genomic and metagenomic datasets",11,2010,"20 October 2011 17:25:06"
20576136,"Dayarian A,Michael TP,Sengupta AM.","BMC Bioinformatics",26," 20576136",SOPRA,"SOPRA: Scaffolding algorithm for paired reads via statistical optimization.",11,2010,"13 July 2010 13:42:25"
20576625,"Hu Y,Wang K,He X,Chiang DY,Prins,JF,Liu J",Bioinformatics,10," 20576625",PERalign,"A Probabilistic Framework for Aligning Paired-end RNA-seq Data",,2010,"25 June 2010 13:58:57"
20593022,"Darling AE,Mau B,Perna NT.","PLoS One",476," 20593022",Mauve,"progressiveMauve: multiple genome alignment with gene gain, loss and rearrangement.",5(6):e11147,2010,"16 August 2010 11:49:31"
